@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 09:09:52 GMT+07:00 2019, Sampling Rate:100ms

LSM6DSO_Acceleration_Sensor.x,LSM6DSO_Acceleration_Sensor.y,LSM6DSO_Acceleration_Sensor.z
0.0,0.0,0.0
2.6265194,1.3695252,5.6241517
5.5954204,0.43336374,11.092675
4.063084,0.8236305,5.138114
7.616188,-1.673598,5.66246
9.098245,-1.2546,5.6361227
9.110215,-2.7151077,-1.201926
5.8180876,-3.1484714,-2.3870919
5.856396,-5.516409,-1.8675344
12.742331,-4.8843207,-0.55786604
13.338505,-6.7901635,0.84278476
11.703216,-5.0040345,1.2689656
10.30017,-2.063865,1.2785428
9.842864,-5.995264,0.723071
11.545193,-7.4821086,0.600963
9.299363,-7.944204,1.2665714
7.2618356,-7.3647895,-0.014365649
7.90829,-6.969734,0.4860378
4.024776,-5.4062724,0.11013664
5.770202,-4.5539107,-0.44294083
7.084659,-8.499676,0.9385557
10.381576,-6.0000525,1.7214836
11.947432,-5.5020437,2.6456738
12.725571,-6.2490573,0.0670397
9.98652,-7.6640735,4.3887057
6.7398834,-4.783761,2.6217308
8.267431,-5.2937417,1.7669748
9.464568,-6.2131433,0.63208854
9.2419,-8.990502,1.297697
8.956982,-8.605023,0.7972935
7.910684,-10.415095,-0.31125572
6.55313,-1.9968252,-1.2402344
5.3871183,-5.7558365,-0.26097596
5.0160055,-6.2921543,-0.5889916
11.44224,-5.5283804,1.1157321
13.192454,-6.981705,-0.42618093
15.024075,-9.452597,-0.031125572
9.814133,-0.8356019,2.8970726
7.7933645,-4.2594147,1.0271438
10.59706,-5.6744313,0.62251145
9.323306,-9.641745,1.324034
11.327314,-9.921875,-0.21069619
6.818895,-12.397555,-1.637684
2.9114382,-4.537151,-1.6233183
4.1947694,-6.4334164,-0.59378016
7.5515428,-6.7805862,1.3072741
13.079924,-4.9417834,-1.759792
13.372025,-5.956956,-0.93616146
13.961017,-7.3169036,0.10055954
9.158101,-3.1221344,1.2522057
9.2490835,-4.103787,0.5913859
9.847652,-6.1030064,0.6177229
11.329708,-7.9968777,0.9768641
7.2522583,-8.549955,1.6855695
4.8986864,-10.391152,-1.3120626
6.6417184,-2.8156672,-1.7454263
5.643306,-6.055121,-0.2561874
6.002447,-5.956956,-0.28970724
11.083098,-6.038361,1.4006507
13.448642,-6.943397,-0.8236305
13.702435,-7.850827,-1.2402344
12.055174,-1.5634614,-0.8332076
8.229122,-5.5092263,0.58420306
10.913105,-4.853195,-0.5602603
10.599455,-7.7335076,0.967287
9.115005,-9.28021,-0.505192
6.771009,-8.509253,-0.03351985
4.0104103,-5.7821736,-0.3423813
5.0399485,-3.2897336,-1.7262721
5.5906315,-6.5842557,1.0510867
9.009656,-5.375147,0.6560313
10.403124,-7.57788,0.30167863
11.518856,-8.561927,-0.22506183
11.071127,-9.680053,0.6847626
9.680053,-3.4046588,0.87630457
8.846846,-5.7989335,1.9824595
8.571504,-5.482889,0.21069619
8.207574,-9.5483675,2.0590763
8.973742,-8.174054,1.036721
7.003254,-8.482916,1.1684061
4.9369946,-7.0152254,0.15083931
4.4222255,-4.9441776,-0.9816527
4.826858,-6.9888883,-0.67757976
8.801354,-5.4733124,-1.9034485
11.803775,-5.4852834,-1.2713599
10.700014,-5.5020437,-0.38547826
10.096657,-8.655303,0.39505535
8.013638,-5.147691,2.3152637
4.8364353,-7.5898514,1.6185298
4.8723493,-8.186026,3.1173458
5.320079,-7.9561753,2.1069617
5.559506,-9.433443,2.056682
6.56989,-8.669669,2.8300328
4.2809634,-8.7534685,1.9489397
4.846012,-8.083072,1.7526091
5.33205,-7.5299945,2.030345
7.8556156,-7.5084457,1.3527653
6.672844,-7.1780357,1.5897985
5.8228765,-8.705584,-1.0558752
5.5571117,-8.224334,0.6273
10.551569,-5.2051535,1.3479767
8.980925,-6.1532865,0.73743665
8.300951,-3.9433706,-0.15083931
6.682421,-2.7390504,0.749408
6.454965,-3.0790374,0.4836435
9.189227,-6.775798,-0.3998439
9.921875,-1.0870007,1.4102279
7.2450757,-7.065505,1.211503
6.8284717,-6.610593,2.056682
6.201172,-7.7143536,-0.15323359
8.461368,-8.590658,1.2234744
10.544386,-8.174054,1.9417568
10.496501,-9.596253,1.5514901
9.038387,-1.7717633,0.9864412
7.1564875,-9.050359,-2.300898
7.735902,-7.9992723,-0.014365649
8.46855,-8.245882,0.13647367
9.026416,-7.3815494,1.7406378
9.091062,-7.099025,0.71828246
8.061523,-3.703943,1.0032011
6.0479383,-6.1054006,0.94095
5.734288,-4.166038,1.9633054
5.219519,-4.5682764,-1.4485363
5.516409,-8.25546,-0.031125572
9.091062,-10.331296,1.8627458
10.982538,-9.009656,2.083019
10.391152,-5.6959796,0.9912298
7.2354984,-6.936214,0.17957062
7.415069,-4.8412237,-0.6177229
10.046377,-5.5116205,-0.29928434
9.024022,-6.4573593,0.0670397
13.460613,-10.446221,1.1684061
10.774237,-11.593079,1.1636176
7.989695,-9.47654,1.4652961
3.5914123,-6.5842557,0.30167863
0.69194543,-5.3512044,-0.61293435
2.4469488,-5.935407,1.0822122
12.438257,-5.4757066,-2.7294734
11.877997,-7.8795586,0.021548472
11.703216,-8.93304,1.4269878
10.439038,-5.9904757,1.0702409
10.405519,-3.213117,0.94095
10.235525,-4.783761,0.92658436
9.107821,-6.2490573,1.333611
9.895537,-7.877164,-1.3192455
11.820535,-10.122993,1.2641771
8.109408,-8.616995,2.0686533
4.106181,-6.8476257,0.6105401
2.3583608,-6.897906,2.0542877
5.7654138,-6.2251143,-2.0518935
7.2762012,-11.102252,0.7877164
9.208381,-7.676045,0.69673395
10.40073,-7.4964743,-0.37111259
9.692024,-4.702356,-1.4652961
8.236305,-5.29853,-0.31365
10.130177,-5.236279,-0.06943397
9.581888,-7.431829,0.5147691
11.67209,-7.7670274,0.18196489
8.61939,-9.8548355,-0.32562137
6.7303066,-6.8667803,1.0247496
4.5084195,-5.8156934,0.1699935
2.238647,-7.3145094,0.79250497
5.549929,-8.81572,0.36632404
9.6585045,-12.356853,0.68236834
10.027223,-6.4789076,-1.7885233
10.728745,-5.968927,-2.6504622
8.281796,-5.5092263,-2.073442
7.7095647,-7.065505,-0.20351335
8.535589,-6.510033,-0.7685622
9.42626,-10.084685,-0.3902668
10.951413,-6.035967,-1.1109436
8.339259,-10.695226,1.7813405
7.8173075,-7.726325,1.3719195
8.487704,-7.7837873,2.3966691
10.055954,-4.3767343,1.515576
9.871595,0.43336374,3.6536634
3.7111259,3.222694,5.609786
0.56744313,2.0447106,7.4892917
-1.1827718,2.5020173,4.271386
0.20590763,2.2458298,10.769448
