@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 09:09:34 GMT+07:00 2019, Sampling Rate:100ms

LSM6DSO_Acceleration_Sensor.x,LSM6DSO_Acceleration_Sensor.y,LSM6DSO_Acceleration_Sensor.z
0.0,0.0,0.0
7.2091613,0.42618093,7.1301503
8.250671,-1.89866,6.6584783
8.8636055,-1.6544439,2.5427198
7.3240867,-2.2338583,1.2186859
8.008849,-4.3025117,1.5778271
9.608225,-5.0567083,1.5874043
12.433469,-4.1971636,-0.2370332
12.079117,-4.7358756,1.9058428
11.2914,-4.786155,2.8156672
10.711986,-3.2897336,0.9720756
11.686456,-7.3432407,2.2865324
10.446221,-7.82449,2.7941186
5.6792197,-7.0894475,1.2186859
4.352792,-5.1045938,-0.0047885496
4.616162,-5.4852834,0.043096945
6.220326,-8.473338,1.6137413
8.667274,-7.142122,-1.0678465
10.695226,-7.9178667,0.92658436
11.892363,-5.29853,-0.52913475
9.038387,-5.8587904,1.0439038
9.701602,-6.3352513,0.32562137
11.796592,-8.135746,0.93616146
12.2155905,-4.1540666,1.9537282
9.217958,-10.010463,2.3655436
9.732727,-8.482916,0.94573855
8.020821,-6.2059603,1.0343267
4.3001175,-5.810905,-1.1109436
4.067873,-5.851608,-0.21548474
5.705557,-7.8963184,0.66800267
10.058349,-7.3049326,-1.9369683
11.913912,-9.182044,0.10055954
14.964217,-3.5578923,-1.9968252
11.389565,-4.6568646,-1.0223553
10.532414,-3.5842295,-1.1013664
14.217204,-6.8787518,-0.25139886
11.526039,-7.814913,1.1444633
10.269045,-8.439818,0.25139886
8.025609,-6.761432,0.43096948
4.2546263,-6.5028505,1.5083932
3.328042,-5.5307746,0.5243462
7.6521025,-7.4605603,-1.3024855
9.893144,-7.1780357,-0.28252444
11.717581,-7.2354984,0.11253092
11.11183,-5.9617443,-0.7637737
11.140561,-4.9441776,-0.043096945
11.123801,-5.7989335,-0.09337672
8.947405,-9.098245,-0.45012367
10.388759,-6.8356547,2.0878077
8.047157,-10.527626,1.7382435
4.9705143,-7.7694216,0.600963
2.7510219,-7.649708,-0.32083282
3.6488748,-8.46855,-0.749408
7.431829,-9.703996,-0.7134939
8.305739,-8.145323,0.82602483
10.048771,-7.005648,-0.34477556
9.510059,-6.038361,-0.81165916
10.24989,-5.794145,-1.2665714
9.821315,-5.767808,-1.472479
8.633755,-8.7534685,0.33519846
11.451817,-5.6169686,-0.53871185
9.665688,-9.897932,1.3647367
7.745479,-7.249864,0.25858167
5.154874,-8.08786,0.29928434
3.5171897,-6.5579185,-0.016759925
4.8292522,-6.035967,-0.15323359
6.352011,-9.361614,0.37350687
9.433443,-7.82449,1.1372806
10.621003,-8.226728,-0.79250497
9.26345,-6.1293435,-0.3232271
9.598648,-6.3352513,-0.62251145
10.1206,-5.8779445,-1.0846065
10.089474,-9.510059,0.94095
10.161303,-8.470944,-1.7023294
7.415069,-9.316123,2.0925963
6.859597,-7.6544967,-0.6081458
5.1979704,-8.339259,1.2043202
3.9601305,-7.805336,1.0702409
5.3009243,-8.554744,-1.2138973
5.830059,-8.89952,0.09577099
9.912297,-9.991309,-0.96489275
9.826104,-7.6042166,-1.3934679
10.4294615,-5.4948606,-1.1229149
8.813326,-6.8619914,0.6847626
10.913105,-9.014444,0.36392978
12.778245,-5.913859,0.057462595
9.780613,-12.668108,1.541913
5.940196,-9.73991,1.8531687
3.553104,-7.4797144,1.0534809
1.7502149,-6.6201696,0.052674048
5.846819,-9.454991,-0.888276
10.348056,-9.416683,2.2314641
11.485336,-8.921068,1.6328955
10.218765,-6.517216,-0.6560313
8.277008,-5.28177,-0.6608198
10.841276,-5.9856873,1.7238779
9.438231,-6.8715687,1.5490957
9.344854,-7.9920893,1.6568382
9.452597,-9.364009,2.1332989
8.7534685,-8.207574,2.595394
6.4142623,-6.699181,1.8004947
3.8859081,-6.9649453,0.85236186
2.3416007,-6.996071,-0.4740664
6.936214,-9.692024,-2.116539
8.387145,-10.0200405,2.796513
14.042421,-8.317711,0.37829542
8.684034,-5.4924664,0.7206767
9.150918,-5.6002088,0.9433443
11.250697,-4.5060253,0.409421
13.281042,-8.92825,-0.3902668
16.42712,-7.472532,0.55786604
4.5084195,-17.109488,0.7134939
5.03516,-5.322473,3.3160706
5.0591025,-0.37350687,1.5395187
1.776552,2.7653873,5.6241517
-0.72785956,1.9752767,7.905895
0.27055305,2.6193366,13.032038
